text,summary
"Reacting to David Warner giving a send-off to AB de Villiers during the first Australia-South Africa Test, ex-South Africa captain Graeme Smith said Warner can be ""a bit of a fool at times"". ""We've got used to Davey over the years. I think the less interest you take in him the better...It's best just to let him be,"" he added.","वार्नर एक मूर्ख हो सकता है, सबसे अच्छा है कि उसे सिर्फ रहने दो: एक्स-एसए कप्तान "
"Dating app Bumble has announced that the platform will ban images of guns and other weapons like knives from its user profiles. It comes in the wake of the mass shooting at a school in the US, which resulted in the death of 17 people. Earlier, the app also banned users who sent hate messages on the platform.",डेटिंग ऐप उपयोगकर्ता प्रोफाइल से बंदूक की छवियों पर प्रतिबंध लगाता है 
"A passenger plane carrying 96 people was forced to make an emergency landing in Kyrgyzstan as one of its engines exploded shortly after takeoff. A part of the broken engine was seen hanging loose, and some passengers claimed to have seen smoke coming out of it. The passengers reportedly clapped when the plane landed safely.","इंजन मध्य हवा में विस्फोट करता है, विमान आपातकालीन लैंडिंग करता है "
"After Russian communist revolutionary Lenin's statue was brought down in Tripura, BJP spokesperson Subrata Chakraborty said citizens have wanted to erect statues of national heroes like Swami Vivekananda instead of Lenin for a long time. This comes days after the BJP defeated the CPI(M), which had ruled the state for 25 years, to form the Tripura government. ","त्रिपुरा राष्ट्रीय नायकों की मूर्ति चाहता है, लेनिन नहीं: भाजपा "
"Kerala Police on Monday arrested a man claiming to be an RSS worker for allegedly issuing a death threat over the phone to Kerala CM Pinarayi Vijayan. The accused made the threat in the excitement of learning about BJP's victory in the Tripura elections, police officials said. The police were on a lookout for him since Sunday. ",केरल के सीएम को मौत की धमकी देने के आरोप में आरएसएस कार्यकर्ता गिरफ्तार 
"Chatbot developing startup Anaek has raised an undisclosed amount in seed funding from Matrix Partners India,  the startup's Co-founder Kanav Abrol said. The funding will be used for marketing and for hiring in functions such as engineering, accounting, sales, and advertising. Anaek currently has three chatbots, AttendanceBot, OfficeAmp, and ExpenseTron which run using instant messaging apps.",चैटबॉट बनाने वाली कंपनी एनाक को मैट्रिक्स पार्टनर्स इंडिया से फंडिंग मिलती है 
"Homegrown cab aggregator Ola is in talks with Singapore's venture fund Temasek and other investors to raise up to $1 billion in funding, according to reports. The deal is reportedly expected to value Ola at $6-7 billion and would include a secondary sale of shares by investors. It would mark the first major liquidity event for the 8-year-old company.",ओला ने बातचीत में $ 1 बिलियन तक बढ़ाने के लिए: रिपोर्ट 
"European Space Agency has witnessed a rare event where winds emitted by a red giant star revived a dead neutron star. ESA's telescope initially detected an X-ray flash, following which scientists discovered the neutron star ""feeding"" on its neighbour. Stars 25-30 times more massive than the Sun explode to form neutron stars while less massive stars turn into red giants.",स्टार से हवा पड़ोसी मृत स्टार को पुनर्जीवित करती है 
"The central government can intervene in disciplinary cases filed by the state government against IAS, IPS and IFS officers, the Ministry of Personnel told the Punjab and Haryana High Court. The Centre has the power to relax rules in cases involving undue hardship on such officers, it added. The court was hearing a case involving an IFS officer.",केंद्र आईएएस अधिकारियों पर राज्य के मामले में हस्तक्षेप कर सकता है: मंत्रालय 
"The Brihanmumbai Electric Supply and Transport (BEST) has decided to reduce the power tariff for residential consumers in Mumbai by 3-10%. The tariff could reduce further as the BEST has sought a reduction in its cost. The BEST, which provides the cheapest power tariff in Mumbai for high-end users, has reduced the tariff by 17% in the last two years.",मुंबई के निवासियों के लिए बिजली दरों में 3-10% की कमी करना सबसे अच्छा है 
"The Rajasthan Education Department will organise events for honouring and worshipping parents in its schools on Valentine's Day every year, state Education Minister Vasudev Devnani told the Rajasthan Assembly on Monday. ""The students should first love their parents before loving anyone else"", he said. Chhattisgarh has reportedly been celebrating Valentine's Day as Parents' Day since 2012. ",वेलेंटाइन डे पर माता-पिता की पूजा को बढ़ावा देने के लिए राज स्कूल 
"The South Delhi Municipal Corporation (SDMC) on Monday launched 32 electric cars while it is planning to launch another 43 vehicles by March-end. The New Delhi Municipal Council (NDMC) will procure 80 electric vehicles by mid-March. The civic agencies have also decided to develop charging stations for public vehicles, with NDMC having already installed 37 charging points across Delhi.","दिल्ली के नागरिक निकाय ई-कार खरीदते हैं, चार्जिंग स्टेशन स्थापित करेंगे "
"AIMIM chief Asaduddin Owaisi on Tuesday sought a case against Art of Living founder Sri Sri Ravi Shankar for saying that India should not turn into Syria over the Ram Temple issue. ""He is not neutral and hell-bent on inciting violence in the country,"" Owaisi said. Meanwhile, Sri Sri said his comment has been misinterpreted. ",ओवैसी ने सीरिया की टिप्पणी पर श्री श्री के खिलाफ मामला दर्ज किया 
"After the Delhi government allegedly delayed approving the phase four of Delhi Metro, the Centre has decided to implement it on its own, Union Minister Hardeep Singh Puri said on Monday. The proposed network, which will provide better connectivity in south Delhi, has been reportedly pending for approval with the Delhi government for over two years.",दिल्ली द्वारा देरी के बाद अकेले मेट्रो चरण 4 को लागू करने का केंद्र 
"Sri Lanka on Tuesday imposed a 10-day nation-wide state of emergency due to clashes between the Buddhist and Muslim communities in the Kandy district. The move is aimed at preventing the spread of violence to other parts of the country, a government spokesperson said. The government further warned to take stern action against those instigating violence through social media.",श्रीलंका सांप्रदायिक हिंसा पर आपातकाल की स्थिति लागू करता है 
"The Global Firepower Index 2017 has ranked India as the fourth most powerful military in the world after US, Russia and China. The Indian military has a total of 42,07,250 personnel, while China has 37,12,500 personnel and the US has 23,63,675, the index stated. It also cites that India's total aircraft strength is 2,102 as against US' 13,762.",भारत दुनिया में चौथे सबसे शक्तिशाली सेना का स्थान रखता है 
"Apurva Asrani, co-writer of Kangana Ranaut's 'Simran' revealed he has been diagnosed with Bell's Palsy, a condition which causes loss of facial muscle movement. ""Mine was accompanied by severe vertigo, and I couldn't stand without falling over,"" he added. Apurva further said, ""One senior neurologist told me to be prepared that if there was nerve damage, I might never recover"".",चेहरे के पक्षाघात से पीड़ित: सिमरन लेखक अपूर्वा असरानी 
"ICICI Bank CEO Chanda Kochhar and Axis Bank MD Shikha Sharma have been summoned by the Serious Fraud Investigation Office (SFIO) in the PNB fraud case. They have been called in connection with working capital loans given to Mehul Choksi-owned Gitanjali Gems. ICICI Bank had led a 31-lender consortium which gave loans worth Ã¢ÂÂ¹5,280 crore to the company.",ICICI बैंक की सीईओ चंदा कोचर को PNB धोखाधड़ी मामले में तलब किया गया 
"The CBI has alleged that violation of norms in issuing Letters of Undertakings benefiting Nirav Modi and Mehul Choksi's firms had been going on since 2010. Explaining the modus operandi, the CBI said an LoU would be issued to firms linked to the duo and after the money was credited, a new LoU was obtained to ""adjust"" the earlier one.",सीबीआई का कहना है कि पीएनबी धोखाधड़ी 2010 से चल रही है 
"In a survey, Facebook asked users if men should be allowed to ask 14-year-old girls for sexual pictures on the platform. Asking users how would they handle the situation, one answer in the survey read, ""This content should be allowed on Facebook, and I wouldn't mind seeing it."" Facebook later apologised saying it shouldn't have been part of the survey.","क्या पुरुषों को बच्चों को यौन तस्वीरों के लिए पूछने की अनुमति दी जानी चाहिए, एफबी पूछता है "
"India has the highest percentage of women commercial pilots in the world, with 12% of the 10,000 commercial pilots being women. The global average percentage for female pilots stands at 5.4%, with France, Japan, and the US having 7.6%, 5.6%, and 5.1% female pilots, respectively. Additionally, around 20% of students enrolling for a commercial flying licence in India are women.",भारत में सबसे अधिक महिला वाणिज्यिक पायलट हैं 
"Odisha Police has arrested 12 people in connection with theft of 50,000-litre diesel from an Indian Oil pipeline near Bhubaneswar. The mastermind of the theft racket is the son of an employee of the Indian Oil Corporation Limited. Two tankers, two SUVs, two cars and Ã¢ÂÂ¹4.50 lakh in cash were seized from the possession of the accused.","इंडियन ऑयल पाइपलाइन से 50,000 एल डीजल की चोरी के लिए 12 का आयोजन किया गया "
"Shambhala International, one of the West's largest Buddhist organisation, has admitted to sexual abuse by its teachers. The organisation, which has over 200 meditation centres across the world, said it will take measures to tackle the problem. In a letter published online, Shambhala International said that it is against all forms of abuse and discrimination.",बौद्ध संगठन शिक्षकों द्वारा यौन शोषण की बात स्वीकार करता है 
"US Ambassador to the UN Nikki Haley has revealed that she was bullied while she was growing up as her father wore a turban and her mother wore a sari. ""We were the only Indian family in a small town in South Carolina. It was a great friendly community. But that didn't mean every day was great,"" the 46-year-old added.","क्या पिता ने पगड़ी पहनी थी, माँ ने साड़ी पहनी थी: हेली "
"Amitabh Bachchan took to Twitter to share pictures of a fan who came to see him at his residence. ""This little one braved the Sunday crowds and came through the gates...just for a wave...! So cute...!"" he wrote. Amitabh makes an appearance at his house's gate every Sunday to wave to fans waiting outside, as part of his 'Sunday darshan'.",बस एक लहर के लिए एक छोटी भीड़ भरी: पंखे पर बिग बी 
"'Superman' actor Henry Cavill, while reacting to reports about his death, shared a picture of himself next to the screenshot of a Wikipedia biography box that lists the date of his death as March 3, 2018. Henry wrote in the caption, ""When you learn that you died 2 days ago"". Reacting to this, a user commented, ""Superman never dies.""",'सुपरमैन' अभिनेता हेनरी कैविल उनकी मौत की अफवाहों पर प्रतिक्रिया देते हैं 
India's largest lender SBI has clarified that its Hong Kong branch didn't have any exposure to the companies of $2-billion PNB fraud accused jewellers Nirav Modi and Mehul Choksi. Foreign branches of multiple Indian banks allegedly gave $1.77 billion to Nirav Modi-linked firms based on PNB's fake LoUs. SBI had lent $212 million on basis of LoU issued by PNB.,हांगकांग की शाखा ने नीरव की फर्मों से संपर्क नहीं किया: एसबीआई 
"BuzzFeed Studios Head Matthew Henick has joined social media major Facebook to lead its global video content strategy and planning, Henick announced in a post. ""I look forward to working with my BuzzFeed friends in my new role, along with so many other partners around the globe,"" Henick said. Matthew is a Stanford University and University of Southern California graduate.",BuzzFeed Studios का सिर वीडियो कंटेंट हेड के रूप में फेसबुक से जुड़ता है 
"IBM has settled a lawsuit with its former employee Lindsay-Rae McIntyre, who was sued by the American technology giant one day after she was hired by Microsoft as Chief Diversity Officer. IBM had earlier enforced McIntyre's non-compete agreement to protect its competitive information. As part of the settlement, McIntyre will not begin her new responsibilities at Microsoft until July.","आईबीएम ने पूर्व कर्मचारी के साथ मुकदमे का निपटारा किया, जो माइक्रोसॉफ्ट द्वारा नियुक्त किया गया था "
"Google has sold its restaurant review service Zagat, which it had bought for a reported amount of $151 million, to the US-based restaurant discovery platform The Infatuation for an undisclosed amount. However, Zagat and The Infatuation will operate as two distinct brands, with individual platforms, and distinct purposes, the company added. Zagat was acquired by Google in 2011.",Google $ 151 मिलियन के लिए खरीदी गई रेस्तरां समीक्षा सेवा बेचता है 
"Technology giant Apple is working on noise-cancelling, over-ear headphones that it plans to launch at the end of 2018, according to reports. However, the company is facing development challenges that might push back the release of the product, reports further highlighted. It is possible that Apple might redesign the headphones again before launch, or cancel the project altogether.",अपने स्वयं के कानों के हेडफ़ोन के लिए ऐप्पल की योजना: रिपोर्ट 
"Two people have been arrested at the Mumbai airport with charas worth approximately Ã¢ÂÂ¹9 lakh, an official said on Monday. ""The seized charas was sourced from Himachal Pradesh and was brought to Mumbai via Delhi via air. The drugs were hidden inside the checked-in luggage,"" he added. The contraband seized was meant for distribution in Mumbai.",मुंबई एयरपोर्ट पर दो लोगों के पास ¢ at Mumbai9 लाख के चरस थे 
"While celebrating his 59th birthday, Madhya Pradesh Chief Minister Shivraj Singh Chouhan on Monday promised to bear the education cost of differently-abled children. ""If these children want to get admission in medical college, engineering college, IIT, IIM, polytechnic or wherever they want; I will pay their education fee,"" the Chief Minister said. ",अलग-अलग बच्चों की शिक्षा का खर्च वहन करेंगे: एमपी सीएम 
BJP MP Shobha Karandlaje has alleged that the Karnataka government is framing the Hindu youth arrested over the murder of journalist Gauri Lankesh with an eye on the upcoming polls. Lankesh had been shot by unknown assailants outside her residence in Bengaluru in September last year. Several protests had taken place following her murder. ,गौरी लंकेश मामले में हिंदू व्यक्ति को दोषी नहीं मानते 
"Japan's conglomerate SoftBank is in advanced talks to lead a $600 million round of funding in Paytm Mall, at a valuation of $2 billion, according to reports. China-based investment firm Primavera Capital Group and Singapore's Temasek Holdings are also expected to participate in this funding round. The deal is expected to close by the end of the month, reports added.",सॉफ्टबैंक के नेतृत्व में $ 600 मिलियन जुटाने के लिए वार्ता में पेटीएम मॉल: रिपोर्ट 
"Flipkart's Singapore-based subsidiary FK Myntra Holdings has invested Ã¢ÂÂ¹414 crore in fashion marketplace Myntra Design, according to filings. This comes after the e-commerce giant recently infused Ã¢ÂÂ¹1,147.5 crore in its online fashion retailer Myntra Jabong Private Limited. Earlier, Flipkart's Singapore entity invested about Ã¢ÂÂ¹4,472 crore in its wholesale arm 'Flipkart India Private Limited'.",फ्लिपकार्ट ने फैशन रिटेलर Myntra में ¢ art414 करोड़ का निवेश किया 
"Congratulating SpaceX on the completion of 50 Falcon 9 launches, CEO Elon Musk tweeted, ""Can't believe it's been fifty Falcon 9 launches already. Just ten years ago, we couldn't even reach orbit with little Falcon 1."" The space exploration startup launched the rocket from Florida, US, on Tuesday, carrying the largest geostationary satellite the company has ever flown.",CannÃ or Â € Â ™ t कक्षा से 10 सेकंड पहले पहुंच गया: 50 वें फाल्कन 9 लॉन्च पर मस्क 
"A Sweden and Finland-based study has found diabetes should be categorised as five different diseases. Diabetes has been usually classified as Type-1, where the body stops producing insulin, and Type-2, where the body develops insulin resistance. Researchers have proposed Type-2 should be split into four categories, two mild and two severe, based on age and obesity.","डायबिटीज 5 तरह की हो सकती है, सिर्फ 2 नहीं, अध्ययन का दावा है "
"The Supreme Court has refused to grant Karti Chidambaram interim protection from arrest by the Enforcement Directorate (ED) in the INX Media case. Karti had challenged summons by ED, claiming it couldn't act against him until the CBI completed its probe in the case. Karti has been accused of taking money to get a foreign investment clearance for INX Media.",SC ने ED द्वारा गिरफ्तारी से कार्ति की अंतरिम सुरक्षा से इनकार किया 
"Telangana Chief Minister K Chandrashekar Rao is planning to get a bullet-proof bus worth Ã¢ÂÂ¹7 crore amid threats by Maoists, reports said. The CM is expected to tour the state and his bus will be manufactured keeping in mind the threats. It will be procured by the Roads and Buildings Department and will have state-of-the-art facilities and security features. ",माओवादी खतरे पर T gan cr7-cr बुलेट-प्रूफ बस पाने के लिए T'gana CM 
"A video has surfaced online which shows a Saudi woman beating a group of men with a stick after they allegedly harassed her, saying she was not dressed modestly as her head was uncovered. However, it is also being claimed that the woman is a social media personality and was followed by the men because they wanted photographs with her.nn",सऊदी महिला ने उन पुरुषों की पिटाई की जिन्होंने 'उसे सबसे ज्यादा कपड़े पहनने के लिए परेशान किया' 
"India's first helicopter taxi service was launched in Bengaluru on Monday to fly passengers from Kempegowda International Airport to Electronic City. The service is expected to reduce the time taken to cover the distance from 2 hours to 15 minutes. The helicopter will seat up to six people apart from the pilot and the service will cost Ã¢ÂÂ¹3,500 plus GST.",भारत की पहली हेलीकॉप्टर टैक्सी सेवा बेंगलुरु में शुरू की गई 
"IPS officer G Sampath, who reportedly exposed the 2013 IPL betting scam, was reinstated to service four years after being suspended for allegedly taking nearly Ã¢ÂÂ¹60 lakh-bribe from bookies. Sampath was given a clean chit after an inquiry into the allegations. Then BCCI President N Srinivasan's son-in-law and Chennai Super Kings official Gurunath Meiyappan was an accused in the scam. ",आईपीएल सट्टेबाजी घोटाले का पर्दाफाश करने वाले शीर्ष पुलिस वाले 4 साल बाद बहाल हुए 
"India's 16-year-old shooter Manu Bhaker won her second gold medal in as many days at the ISSF shooting World Cup on Monday. Bhaker, making her international debut at the event, partnered with Om Prakash Mitharval for the 10m air pistol mixed team gold. India is on top of the medal tally with seven medals overall and three golds.",16-वर्षीय भारतीय निशानेबाज ने विश्व कप में 2 दिनों में 2 स्वर्ण जीते 
"The CPM on Tuesday tweeted photos of violence in Tripura, accusing the BJP-IPFT leadership of ""coordinating"" attacks on the Left in the state. Claiming that hundreds of cadre were unable to go to their homes because of ""violence and threats of violence"", the CPM added that BJP-IPFT wanted to use their newly acquired power to ""smash"" the party's support base. ",CPM का दावा है कि त्रिपुरा में लेफ्ट पर BJP-IPFT समन्वित हमले 
"Two days after BJP's win in the Tripura Assembly elections, a statue of Lenin located in Belonia was brought down by a crowd. The statue was reportedly built during the 21st year of CPI(M)'s rule in Tripura five years ago. The CPI(M) has called the incident an example of ""Communist phobia"" and blamed other incidents of vandalism on BJP.",वीडियो: त्रिपुरा में भाजपा की जीत के बाद लेनिन की मूर्ति उतारी गई 
"Elon Musk-led SpaceX on Tuesday successfully launched its Falcon 9 rocket for the 50th time, carrying Hispasat satellite, the largest geostationary satellite the company has ever flown. The satellite weighing 6,000 kg is ""almost the size of a city bus,"" Musk earlier said. SpaceX, however, did not attempt to land the rocket's first stage after launch due to unfavorable weather.",स्पेसएक्स ने 50 वें फाल्कन 9 लॉन्च पर बस के आकार का उपग्रह लॉन्च किया 
"US-based proxy advisory firm Glass Lewis has advised the electric car maker Tesla's shareholders to vote against CEO Elon Musk's performance-based award of stock options worth $2.6 billion. Glass Lewis says Musk would own 28.3% of the company if the CEO earned the full grant. The grant would dilute other investors and prove too costly, it added.",टेस्ला का $ 2.6 बिलियन का पुरस्कार मस्क को बहुत महंगा पड़ा: सलाहकार फर्म 
"In the Netherlands, 17 volunteers are being paid $1,200 each to host parasitic worms in their bodies for 12 weeks. The study is centred around developing a vaccine for schistosomiasis (snail fever), where a flatworm enters the body through the skin and can cause kidney failure, bladder cancer and infertility. Participants have reported rashes and fever symptoms as side effects.",अनुसंधान के लिए निकायों में कीड़े की मेजबानी करने के लिए भुगतान किया जा रहा 17 लोग 
"While ruling out any more adjournments in a case filed in 2009, a Bombay High Court judge said, ""No more tareek pe tareek. Enough is enough."" The court also imposed a Ã¢ÂÂ¹4.5-lakh fine on a charitable trust for failing to file an affidavit since 2016. ""This is even more shocking. That a trust should be so utterly negligent,"" it observed.",कोई और अधिक ताड़ी पे तिकड़ी: 2009 के मामले में बॉम्बे एचसी 
"A 42-year-old constable from Chhattisgarh's Bastar on Monday started a 6,000-km bicycle ride from Delhi's India Gate to spread the message of peace. The constable, who will bicycle along the Golden Quadrilateral, will travel through five states in 20 days before returning to Delhi. He wants the Naxal-hit Bastar district to be known by terms other than 'conflict zone'.","बस्तर कांस्टेबल साइकिल पर 6,000 किलोमीटर की शांति सवारी शुरू करता है "
"Comparing the war in Iraq to throwing a ""big fat brick into hornet's nest"", US President Donald Trump reportedly called former President George W Bush's move to invade the Middle East nation the ""worst decision ever"". Last year, Bush described Trump as a ""guy who doesn't know what it means to be President"".",ट्रम्प ने इराक पर आक्रमण को 'अब तक का सबसे खराब फैसला' कहा: रिपोर्ट 
"US President Donald Trump has tweeted that he would abandon his plan of imposing tariffs on steel and aluminium imports from Canada and Mexico if the North American Free Trade Agreement (NAFTA) between the three countries gets revised.  ""NAFTA has been a bad deal for U.S.A. Massive relocation of companies & jobs,"" Trump added.","अगर कनाडा, मैक्सिको ने नाफ्टा: ट्रम्प: को संशोधित किया तो आयात कर नहीं लगेगा "
"Protests have erupted in New Zealand over the country's census, which is being held online for the first time, due to the absence of ethnic category PÃÂkehÃÂ and options for alternative genders in the form. Adding that now it's too late to change the questions, the government has said it will try to add the preferences in the 2023 census.","न्यूजीलैंड की जनगणना में जातीय श्रेणी, तीसरे लिंग को शामिल नहीं किया गया है "
"The Big Cheese Festival in England has apologised after it ran out of cheese. The festival had also promised there would be ""live comedy, local bands"" but the weather apparently prevented several performers and traders from reaching the site. It is now offering a 50% discount on 2019's event for those who bought the ÃÂ£22 (Ã¢ÂÂ¹2,000) ticket for this year.",पनीर त्योहार पनीर से बाहर चलने के लिए माफी माँगता है 
"Infosys has granted 1.13 lakh Restricted Stock Units (RSUs) worth Ã¢ÂÂ¹13 crore to its new CEO, Salil Parekh. Others who have been given RSUs include CFO MD Ranganath, Presidents Ravi Kumar S and Mohit Joshi. For the next fiscal, Parekh will receive a fixed pay of Ã¢ÂÂ¹6.5 crore and will be eligible for variable pay of up to Ã¢ÂÂ¹12.18 crore.","इंफोसिस के नए सीईओ को 1.13 लाख स्टॉक इकाइयां मिलीं, जिनकी कीमत ¢ .13 करोड़ है "
"Bollywood trade analyst Komal Nahta has said his blog on late actress Sridevi and Boney Kapoor, wherein he quoted Boney narrating the details of the night of Sridevi's demise, was not an investigation. He added it was a sequence of all the conversations he had with Boney Kapoor. ""It would be wrong to even call it an interview,"" Nahta added.",श्रीदेवी-बोनी पर मेरा ब्लॉग एक जांच नहीं था: नाहटा 
Photo-sharing platform Instagram is reportedly working on its own 'Portrait Mode' camera feature for its users. Analysis of Instagram's code revealed an icon referred to as 'portrait shutter icon' which would seemingly appear on the Instagram Stories camera interface. The feature would add blurred backgrounds and various other photography modes to pictures.,'पोर्ट्रेट मोड' कैमरा फीचर पर काम कर रहे इंस्टाग्राम: रिपोर्ट 
"US-based movie ticketing service MoviePass CEO Mitch Lowe at a recent event revealed that the MoviePass app not only tracks user location but also follows them to and from the theater. ""We watch how you drive from home to the movies. We watch where you go afterwards,"" he said. ""We know all about you,"" he added.",मूवी बुकिंग ऐप फिल्मों से पहले और बाद में ट्रैक करता है: सीईओ 
"The wreckage of US aircraft carrier Lexington, which was lost during the WWII, has been discovered in the Coral Sea by a search team led by Microsoft co-founder Paul Allen. The warship sank with 216 crew members and 35 aircraft in 1942 during what is believed to be the first carrier battle in history, 'the Battle of the Coral Sea'.",माइक्रोसॉफ्ट के सह-संस्थापक ने 76 साल पहले खोए अमेरिकी युद्धपोत को खोज निकाला 
"Camera footage has captured the moment the roof of an airport in China partially collapsed due to extreme weather on Sunday. Passengers could be seen running away from the site, although no one was wounded in the incident. Meanwhile, weather forecasters said that winds reached speeds of more than 30 metres per second. ",तूफान के दौरान चीनी हवाई अड्डे की छत ढह गई 
"Israeli Prime Minister Benjamin Netanyahu on Monday said that Saudi Arabia had granted Air India permission to fly over Saudi territory on its new routes to and from Tel Aviv. However, Air India denied receiving such a confirmation from Saudi Arabia. Notably, Saudi Arabia does not recognize Israel, and planes flying to and from Israel are banned from Saudi airspace.",AI ने इजरायल मार्ग के लिए सऊदी पर उड़ान भरने की अनुमति दी: नेतन्याहू 
"BJP General Secretary Kailash Vijayvargiya dressed up as a rockstar for an event on Holi in Madhya Pradesh. Vijayvargiya also shared a video of the event, where he could be seen holding a guitar on the stage while songs were being played by the orchestra. He also shared an image with a caption, ""Aaj ka #BajarBattu kirdaar"".",भाजपा महासचिव ने होली कार्यक्रम के लिए रॉकस्टार के रूप में कपड़े पहने 
"Union Minister Anant Hegde has said polarising people for the right cause is real democracy, adding that he hoped the Karnataka Assembly elections will be polarised as the Hindus were fed up of Congress' appeasement policy. Earlier, Hegde was criticised for saying the BJP was here to ""change the Constitution"". He later rendered an apology in the Lok Sabha. ",सही कारण के लिए ध्रुवीकरण करना वास्तविक लोकतंत्र है: केंद्रीय मंत्री 
"Uber is facing a $13.5 million lawsuit by a US state Attorney General for not disclosing the 2016 data breach within a ""reasonable"" time frame. Hackers had stolen the first names, last names and license numbers of at least 13,500 Uber drivers in the state of Pennsylvania. The Attorney General may seek fine of up to $1,000 per violation.",उबर ने ड्राइवरों के डेटा चोरी करने पर $ 13.5 मिलियन का मुकदमा किया 
"Thousands of starfish along with lobsters and sea urchins washed ashore in one of the biggest mass strandings on record in the UK. Believed to be an aftermath of a storm dubbed ""Beast from the East"", researchers said such mass strandings of seabed-dwelling creatures are not unusual after winter storms. Meanwhile, starfish populations are expected to bounce back.",तूफान के कारण ब्रिटेन के समुद्र तट पर हजारों स्टारफ़िश धुल गई 
"The UK will raise the issue of alleged persecution of Christians and Sikhs with PM Narendra Modi during the Commonwealth Heads of Government Meeting (CHOGM) in London. This follows demands by UK MPs to bring up the issue citing details of alleged persecutions in Punjab and Kerala. Apart from India, MPs also cited persecution of minorities in Pakistan and Bangladesh.","भारत के साथ सिखों, ईसाइयों के उत्पीड़न पर चर्चा करने के लिए यूके "
"Criticising the BJP-led Centre for allegedly ignoring the plight of farmers, social activist Anna Hazare said the government cares only about industrialists. He said, ""Government is paying attention to GST (Goods and Services Tax), demonetisation but not on the plight of farmers...It cares only about industrialists. Why are farmers committing suicide? How many industrialists committed suicide?""",केंद्रीय सरकार को केवल उद्योगपतियों की परवाह है: अन्ना हजारे 
